,site_no,analyze_start,analyze_end,analyze_range,quantile,valid,missing,threshold,hmf_years,annual_hmf,six_mo_hmf,three_mo_hmf,annual_duration,event_duration,event_hmf,inter_annual,intra_annual,timing,jan_hmf,feb_hmf,mar_hmf,apr_hmf,may_hmf,jun_hmf,jul_hmf,aug_hmf,sep_hmf,oct_hmf,nov_hmf,dec_hmf,dec_lat_va,dec_long_va,data_start,data_end,total_record,State,HCDN_2009
1124,9508300,1990-10-01,2020-09-30,30,0.9,True,0.0,16.53000000000011,29,0.009877029642681969,0.009374808425604187,0.00696117390997746,37.79310344827586,8.23560320679996,0.001993237552890607,0.97,4.482758620689655,142.5172413793103,0.005947951842702964,0.003039828174908118,0.00308395096918974,0.000861711431360621,0.0,0.0,0.0001193292756923092,0.0007501969548514934,0.0003292258849553308,0.001414052161611424,0.0006438058696692846,0.002307654399395342,34.16086787,-111.6929235,1967-06-04,2020-09-30,53.3,AZ,False
1125,9415000,1990-10-01,2020-09-30,30,0.9,True,0.0,391.0,29,0.05720473268142157,0.03559986767931621,0.01720634399333588,37.75862068965517,5.395785440613027,0.008001446014488744,0.97,5.758620689655173,211.4137931034483,0.02253051420532416,0.0093214528311744,0.0162918994733838,0.01840628685594816,0.03807027241120564,0.011855697334488,0.00069292456304064,0.00138445593722856,0.00509030430524784,0.00393021973373904,0.00167264214844608,0.01954844443640088,36.8916437,-113.9244098,1929-10-01,2020-09-30,91.0,AZ,False
1126,9505350,1990-10-01,2020-09-30,30,0.9,True,0.0,61.0,29,0.0242404764733957,0.02384002267528062,0.01309722756228439,37.72413793103448,8.651765188834155,0.005662812644831857,0.97,4.310344827586207,176.2413793103448,0.007949454041102111,0.008844688654478612,0.01075319947811903,0.004560247439884313,0.00028257947559072,0.0,0.000172728233564544,0.001193341688434023,0.001182124139554512,7.339726638720001e-06,0.0009868507123313663,0.005439604861530642,34.72863146,-111.775708,1960-10-01,2020-09-30,60.0,AZ,False
1127,9447000,1990-10-01,2020-09-30,30,0.9,True,0.0,70.0,29,0.03187834787006095,0.03022206684406088,0.02466891403387933,37.68965517241379,10.56206896551724,0.008527365777361743,0.97,3.482758620689655,213.3103448275862,0.04051053134421717,0.0171950572051632,0.008514033969404276,0.002240503983088128,0.00174440836446912,0.000214075360296,0.000109830853896624,0.001249438947292032,0.001032076773383407,0.00534943743185376,0.004411848518145936,0.00363148266547836,33.0645062,-109.4422978,1944-04-01,2020-09-30,76.5,AZ,False
1128,9428505,1990-10-01,2020-09-30,30,0.9,True,0.0,10.5,29,0.0004381394979945799,0.0003183838432398323,0.0002013953497925561,37.62068965517241,1.426764967379799,1.492384852600222e-05,0.97,23.55172413793104,149.9655172413793,6.17515667870976e-05,8.7016536927936e-05,4.21187390191163e-05,2.889183304150691e-05,2.637853270764218e-05,2.7483198636096e-05,3.0949180659936e-05,1.7248357600992e-05,3.8551040392896e-05,2.4751189276128e-05,8.747151413478064e-05,0.0001187121004175583,34.02779463,-114.433566,1966-05-01,2020-09-30,54.4,AZ,False
1129,9423350,1990-10-01,2020-09-30,30,0.9,True,0.0,0.09,29,6.206202878744806e-05,5.604429659043774e-05,3.364631928798058e-05,37.41379310344828,9.33817733990148,1.43995112022534e-05,0.97,3.827586206896552,183.6206896551724,2.81830211829684e-05,2.091390343409393e-05,2.96429811599712e-05,9.188003255924946e-06,1.100958995808e-07,0.0,3.1071509437248e-06,8.560790252252509e-06,3.358480977111273e-06,3.0011326700544e-06,4.9665483588672e-06,1.692785620443456e-05,35.24500556,-115.2989889,1963-10-01,2020-09-30,57.0,CA,False
1130,9497980,1990-10-01,2020-09-30,30,0.9,True,0.0,40.0,29,0.01568596602069574,0.01508177997131807,0.01055245153549876,37.37931034482759,10.50514504652436,0.004048714893221186,0.97,4.310344827586207,179.7241379310345,0.01116465042109277,0.006902797029403256,0.005911892273220935,0.00144511062264576,0.0,0.0,0.0001624081330785862,0.000817191183523392,0.000332489616734016,0.0008171562324441601,0.002070781542337536,0.002697369927859152,33.8278262,-110.8562266,1965-05-04,2020-09-30,55.4,AZ,False
1131,9524000,1990-10-01,2020-09-30,30,0.9,True,0.0,1140.0,29,0.01382990101017666,0.005873468604456165,0.002973854758791724,36.96551724137931,3.530731385472765,0.001355120107251389,0.97,10.27586206896552,204.0344827586207,0.0030840443968992,0.0018390092855904,0.002059201084752,0.0036861738230016,0.002420670628691576,0.0039369478164912,0.003055995273212509,0.001984301535134653,0.0021706561929696,0.00319522766338944,0.0018360966956544,0.001514994857479385,32.7767123,-114.6355087,1938-10-01,2020-09-30,82.0,AZ,False
1132,9523800,1990-10-01,2020-09-30,30,0.9,True,0.03322077210915397,22.7,29,0.0005551111185070544,0.0002522503752847448,8.039953432988691e-06,36.48275862068966,1.942180731322712,2.908278512449636e-05,0.97,18.48275862068965,201.4827586206897,3.474137275660803e-06,1.2034093468068e-05,6.258171517933904e-05,0.0001674976237760309,0.0001141622768679989,3.4389677521836e-05,3.328781904972424e-05,5.827104714044661e-05,4.211873901911632e-05,0.0001073195682000668,2.27667446664e-05,7.747489229760003e-06,32.79365629,-114.6146748,1966-10-01,2020-09-30,54.0,AZ,False
1133,9523600,1990-10-01,2020-09-30,30,0.9,True,0.03322077210915397,26.0,29,0.0005989723125239569,0.000230762692814837,1.222444126379917e-05,36.20689655172414,1.717404029033564,2.692478404130276e-05,0.97,20.75862068965517,218.9310344827586,7.693120884288e-06,1.957260436992e-05,6.4181831829696e-05,0.0001501353738651277,0.0001486200545281329,9.102239662231298e-05,6.4130861505816e-05,3.875162919544487e-05,4.240360253551418e-05,5.5956677850432e-05,1.56733745931e-05,1.39944121244928e-05,32.80865585,-114.5882852,1966-10-01,2020-09-30,54.0,AZ,False
