,datetime,00060_Mean,site_no
15545,1991-04-24 00:00:00+00:00,0.0,11447650
15546,1991-04-25 00:00:00+00:00,0.0,11447650
15547,1991-04-26 00:00:00+00:00,0.0,11447650
15548,1991-04-27 00:00:00+00:00,0.0,11447650
15549,1991-04-28 00:00:00+00:00,0.0,11447650
15550,1991-04-29 00:00:00+00:00,0.0,11447650
15551,1991-04-30 00:00:00+00:00,0.0,11447650
15552,1991-05-01 00:00:00+00:00,0.0,11447650
15553,1991-05-02 00:00:00+00:00,0.0,11447650
15554,1991-05-03 00:00:00+00:00,0.0,11447650
15555,1991-05-04 00:00:00+00:00,0.0,11447650
15556,1991-05-05 00:00:00+00:00,0.0,11447650
15557,1991-05-06 00:00:00+00:00,0.0,11447650
15558,1991-05-07 00:00:00+00:00,0.0,11447650
15559,1991-05-08 00:00:00+00:00,0.0,11447650
15560,1991-05-09 00:00:00+00:00,0.0,11447650
15561,1991-05-10 00:00:00+00:00,0.0,11447650
15562,1991-05-11 00:00:00+00:00,0.0,11447650
15563,1991-05-12 00:00:00+00:00,0.0,11447650
15564,1991-05-13 00:00:00+00:00,0.0,11447650
15565,1991-05-14 00:00:00+00:00,0.0,11447650
15566,1991-05-15 00:00:00+00:00,0.0,11447650
15567,1991-05-16 00:00:00+00:00,0.0,11447650
15568,1991-05-17 00:00:00+00:00,0.0,11447650
15569,1991-05-18 00:00:00+00:00,0.0,11447650
15570,1991-05-19 00:00:00+00:00,0.0,11447650
15571,1991-05-20 00:00:00+00:00,0.0,11447650
15572,1991-05-21 00:00:00+00:00,0.0,11447650
15573,1991-05-22 00:00:00+00:00,0.0,11447650
15574,1991-05-23 00:00:00+00:00,0.0,11447650
15575,1991-05-24 00:00:00+00:00,0.0,11447650
15576,1991-05-25 00:00:00+00:00,0.0,11447650
15577,1991-05-26 00:00:00+00:00,0.0,11447650
15578,1991-05-27 00:00:00+00:00,0.0,11447650
15579,1991-05-28 00:00:00+00:00,0.0,11447650
15580,1991-05-29 00:00:00+00:00,0.0,11447650
15581,1991-05-30 00:00:00+00:00,0.0,11447650
15582,1991-05-31 00:00:00+00:00,0.0,11447650
15583,1991-06-01 00:00:00+00:00,0.0,11447650
15584,1991-06-02 00:00:00+00:00,0.0,11447650
15585,1991-06-03 00:00:00+00:00,0.0,11447650
15586,1991-06-04 00:00:00+00:00,0.0,11447650
