,index,datetime,00060_Mean,00060_Mean_cd,site_no,flow_bool
171,3373,1991-06-18 00:00:00+00:00,3844800.0,A,09516500,1
172,3374,1991-06-19 00:00:00+00:00,3585600.0,A,09516500,1
173,3375,1991-06-20 00:00:00+00:00,3585600.0,A,09516500,1
174,3376,1991-06-21 00:00:00+00:00,3585600.0,A,09516500,1
175,3377,1991-06-22 00:00:00+00:00,3585600.0,A,09516500,1
176,3378,1991-06-23 00:00:00+00:00,3672000.0,A,09516500,1
177,3379,1991-06-24 00:00:00+00:00,3585600.0,A,09516500,1
178,3380,1991-06-25 00:00:00+00:00,3585600.0,A,09516500,1
179,3381,1991-06-26 00:00:00+00:00,3585600.0,A,09516500,1
180,3382,1991-06-27 00:00:00+00:00,4795200.0,A,09516500,1
181,3383,1991-06-28 00:00:00+00:00,7992000.0,A,09516500,1
182,3384,1991-06-29 00:00:00+00:00,10756800.0,A,09516500,1
183,3385,1991-06-30 00:00:00+00:00,17323200.0,A,09516500,1
184,3386,1991-06-30 00:00:00+00:00,18532800.0,A,09516500,1
185,3387,1991-07-01 00:00:00+00:00,15681600.0,A,09516500,1
186,3388,1991-07-02 00:00:00+00:00,18187200.0,A,09516500,1
187,3389,1991-07-03 00:00:00+00:00,19656000.0,A,09516500,1
188,3390,1991-07-04 00:00:00+00:00,16286400.0,A,09516500,1
189,3391,1991-07-05 00:00:00+00:00,14126400.0,A,09516500,1
190,3392,1991-07-06 00:00:00+00:00,12571200.0,A,09516500,1
191,3393,1991-07-07 00:00:00+00:00,10670400.0,A,09516500,1
192,3394,1991-07-08 00:00:00+00:00,7819200.0,A,09516500,1
193,3395,1991-07-09 00:00:00+00:00,4363200.0,A,09516500,1
194,3396,1991-07-10 00:00:00+00:00,3758400.0,A,09516500,1
195,3397,1991-07-11 00:00:00+00:00,3240000.0,A,09516500,1
196,3398,1991-07-12 00:00:00+00:00,2289600.0,A,09516500,1
197,3399,1991-07-13 00:00:00+00:00,1684800.0,A,09516500,1
198,3400,1991-07-14 00:00:00+00:00,1339200.0,A,09516500,1
199,3401,1991-07-15 00:00:00+00:00,1252800.0,A,09516500,1
200,3402,1991-07-16 00:00:00+00:00,1166400.0,A,09516500,1
201,3403,1991-07-17 00:00:00+00:00,993600.0,A,09516500,1
202,3404,1991-07-18 00:00:00+00:00,1080000.0,A,09516500,1
203,3405,1991-07-19 00:00:00+00:00,734400.0,A,09516500,1
204,3406,1991-07-20 00:00:00+00:00,388800.0,A,09516500,1
205,3407,1991-07-21 00:00:00+00:00,388800.0,A,09516500,1
206,3408,1991-07-22 00:00:00+00:00,388800.0,A,09516500,1
207,3409,1991-07-23 00:00:00+00:00,319679.99999999994,A,09516500,1
208,3410,1991-07-24 00:00:00+00:00,267839.99999999994,A,09516500,1
209,3411,1991-07-25 00:00:00+00:00,250560.00000000003,A,09516500,1
210,3412,1991-07-26 00:00:00+00:00,190080.00000000003,A,09516500,1
211,3413,1991-07-27 00:00:00+00:00,129600.0,"A, e",09516500,1
212,3414,1991-07-28 00:00:00+00:00,129600.0,"A, e",09516500,1
213,3415,1991-07-29 00:00:00+00:00,103680.00000000001,A,09516500,1
214,3416,1991-07-30 00:00:00+00:00,103680.00000000001,A,09516500,1
215,3417,1991-08-01 00:00:00+00:00,17280.000000000015,A,09516500,1
216,3418,1991-08-02 00:00:00+00:00,0.0,A,09516500,0
217,3419,1991-08-03 00:00:00+00:00,0.0,A,09516500,0
218,3420,1991-08-04 00:00:00+00:00,0.0,A,09516500,0
219,3421,1991-08-05 00:00:00+00:00,0.0,A,09516500,0
220,3422,1991-08-06 00:00:00+00:00,0.0,A,09516500,0
221,3423,1991-08-07 00:00:00+00:00,0.0,A,09516500,0
222,3424,1991-08-08 00:00:00+00:00,0.0,A,09516500,0
223,3425,1991-08-09 00:00:00+00:00,0.0,A,09516500,0
224,3426,1991-08-10 00:00:00+00:00,5140800.0,A,09516500,1
225,3427,1991-08-11 00:00:00+00:00,0.0,A,09516500,0
226,3428,1991-08-12 00:00:00+00:00,0.0,A,09516500,0
227,3429,1991-08-13 00:00:00+00:00,0.0,A,09516500,0
228,3430,1991-08-14 00:00:00+00:00,0.0,A,09516500,0
229,3431,1991-08-15 00:00:00+00:00,0.0,A,09516500,0
230,3432,1991-08-16 00:00:00+00:00,0.0,"A, e",09516500,0
231,3433,1991-08-17 00:00:00+00:00,0.0,"A, e",09516500,0
232,3434,1991-08-18 00:00:00+00:00,0.0,"A, e",09516500,0
233,3435,1991-08-19 00:00:00+00:00,0.0,"A, e",09516500,0
234,3436,1991-08-20 00:00:00+00:00,0.0,"A, e",09516500,0
235,3437,1991-08-21 00:00:00+00:00,0.0,"A, e",09516500,0
236,3438,1991-08-22 00:00:00+00:00,0.0,"A, e",09516500,0
237,3439,1991-08-23 00:00:00+00:00,0.0,"A, e",09516500,0
238,3440,1991-08-24 00:00:00+00:00,0.0,"A, e",09516500,0
239,3441,1991-08-25 00:00:00+00:00,0.0,"A, e",09516500,0
240,3442,1991-08-26 00:00:00+00:00,0.0,"A, e",09516500,0
241,3443,1991-08-27 00:00:00+00:00,0.0,"A, e",09516500,0
242,3444,1991-08-28 00:00:00+00:00,0.0,"A, e",09516500,0
243,3445,1991-08-29 00:00:00+00:00,0.0,"A, e",09516500,0
244,3446,1991-08-30 00:00:00+00:00,0.0,"A, e",09516500,0
245,3447,1991-08-31 00:00:00+00:00,0.0,"A, e",09516500,0
246,3448,1991-09-01 00:00:00+00:00,0.0,"A, e",09516500,0
247,3449,1991-09-02 00:00:00+00:00,0.0,"A, e",09516500,0
248,3450,1991-09-03 00:00:00+00:00,0.0,A,09516500,0
249,3451,1991-09-04 00:00:00+00:00,0.0,A,09516500,0
250,3452,1991-09-05 00:00:00+00:00,0.0,"A, e",09516500,0
251,3453,1991-09-06 00:00:00+00:00,0.0,"A, e",09516500,0
252,3454,1991-09-07 00:00:00+00:00,0.0,"A, e",09516500,0
253,3455,1991-09-08 00:00:00+00:00,0.0,"A, e",09516500,0
254,3456,1991-09-09 00:00:00+00:00,0.0,"A, e",09516500,0
255,3457,1991-09-10 00:00:00+00:00,0.0,"A, e",09516500,0
256,3458,1991-09-11 00:00:00+00:00,0.0,"A, e",09516500,0
