,index,datetime,00060_Mean,00060_Mean_cd,site_no,flow_bool
174,22290,1990-06-24 00:00:00+00:00,0.0,A,06774000,0
175,22291,1990-06-25 00:00:00+00:00,0.0,A,06774000,0
176,22292,1990-06-26 00:00:00+00:00,0.0,A,06774000,0
177,22293,1990-06-27 00:00:00+00:00,0.0,A,06774000,0
178,22294,1990-06-28 00:00:00+00:00,0.0,A,06774000,0
179,22295,1990-06-29 00:00:00+00:00,0.0,A,06774000,0
180,22296,1990-06-30 00:00:00+00:00,0.0,A,06774000,0
181,22297,1990-06-30 00:00:00+00:00,0.0,A,06774000,0
182,22298,1990-07-01 00:00:00+00:00,0.0,A,06774000,0
183,22299,1990-07-02 00:00:00+00:00,0.0,A,06774000,0
184,22300,1990-07-03 00:00:00+00:00,0.0,A,06774000,0
185,22301,1990-07-04 00:00:00+00:00,0.0,A,06774000,0
186,22302,1990-07-05 00:00:00+00:00,0.0,A,06774000,0
187,22303,1990-07-06 00:00:00+00:00,0.0,A,06774000,0
188,22304,1990-07-07 00:00:00+00:00,0.0,A,06774000,0
189,22305,1990-07-08 00:00:00+00:00,0.0,A,06774000,0
190,22306,1990-07-09 00:00:00+00:00,0.0,A,06774000,0
191,22307,1990-07-10 00:00:00+00:00,0.0,A,06774000,0
192,22308,1990-07-11 00:00:00+00:00,0.0,A,06774000,0
193,22309,1990-07-12 00:00:00+00:00,0.0,A,06774000,0
194,22310,1990-07-13 00:00:00+00:00,0.0,A,06774000,0
195,22311,1990-07-14 00:00:00+00:00,0.0,A,06774000,0
196,22312,1990-07-15 00:00:00+00:00,0.0,A,06774000,0
197,22313,1990-07-16 00:00:00+00:00,0.0,A,06774000,0
198,22314,1990-07-17 00:00:00+00:00,0.0,A,06774000,0
199,22315,1990-07-18 00:00:00+00:00,0.0,A,06774000,0
200,22316,1990-07-19 00:00:00+00:00,0.0,A,06774000,0
201,22317,1990-07-20 00:00:00+00:00,0.0,A,06774000,0
202,22318,1990-07-21 00:00:00+00:00,0.0,A,06774000,0
203,22319,1990-07-22 00:00:00+00:00,0.0,A,06774000,0
204,22320,1990-07-23 00:00:00+00:00,0.0,A,06774000,0
205,22321,1990-07-24 00:00:00+00:00,0.0,A,06774000,0
206,22322,1990-07-25 00:00:00+00:00,0.0,A,06774000,0
207,22323,1990-07-26 00:00:00+00:00,0.0,A,06774000,0
208,22324,1990-07-27 00:00:00+00:00,0.0,A,06774000,0
209,22325,1990-07-28 00:00:00+00:00,0.0,A,06774000,0
210,22326,1990-07-29 00:00:00+00:00,0.0,A,06774000,0
211,22327,1990-07-30 00:00:00+00:00,0.0,A,06774000,0
212,22328,1990-08-01 00:00:00+00:00,0.0,A,06774000,0
213,22329,1990-08-02 00:00:00+00:00,0.0,A,06774000,0
214,22330,1990-08-03 00:00:00+00:00,0.0,A,06774000,0
215,22331,1990-08-04 00:00:00+00:00,0.0,A,06774000,0
216,22332,1990-08-05 00:00:00+00:00,0.0,A,06774000,0
217,22333,1990-08-06 00:00:00+00:00,0.0,A,06774000,0
218,22334,1990-08-07 00:00:00+00:00,0.0,A,06774000,0
219,22335,1990-08-08 00:00:00+00:00,0.0,A,06774000,0
220,22336,1990-08-09 00:00:00+00:00,0.0,A,06774000,0
221,22337,1990-08-10 00:00:00+00:00,0.0,A,06774000,0
222,22338,1990-08-11 00:00:00+00:00,0.0,A,06774000,0
223,22339,1990-08-12 00:00:00+00:00,0.0,A,06774000,0
224,22340,1990-08-13 00:00:00+00:00,0.0,A,06774000,0
225,22341,1990-08-14 00:00:00+00:00,0.0,A,06774000,0
226,22342,1990-08-15 00:00:00+00:00,0.0,A,06774000,0
227,22343,1990-08-16 00:00:00+00:00,0.0,A,06774000,0
228,22344,1990-08-17 00:00:00+00:00,0.0,A,06774000,0
229,22345,1990-08-18 00:00:00+00:00,0.0,A,06774000,0
230,22346,1990-08-19 00:00:00+00:00,0.0,A,06774000,0
231,22347,1990-08-20 00:00:00+00:00,0.0,A,06774000,0
232,22348,1990-08-21 00:00:00+00:00,0.0,A,06774000,0
233,22349,1990-08-22 00:00:00+00:00,0.0,A,06774000,0
234,22350,1990-08-23 00:00:00+00:00,0.0,A,06774000,0
235,22351,1990-08-24 00:00:00+00:00,0.0,A,06774000,0
236,22352,1990-08-25 00:00:00+00:00,0.0,A,06774000,0
237,22353,1990-08-26 00:00:00+00:00,0.0,A,06774000,0
238,22354,1990-08-27 00:00:00+00:00,147744000.0,A,06774000,1
239,22355,1990-08-28 00:00:00+00:00,66528000.0,A,06774000,1
240,22356,1990-08-29 00:00:00+00:00,13824000.0,A,06774000,1
241,22357,1990-08-30 00:00:00+00:00,6048000.0,A,06774000,1
242,22358,1990-08-31 00:00:00+00:00,0.0,A,06774000,0
243,22359,1990-09-01 00:00:00+00:00,0.0,A,06774000,0
244,22360,1990-09-02 00:00:00+00:00,272160000.0,A,06774000,1
245,22361,1990-09-03 00:00:00+00:00,314496000.0,A,06774000,1
246,22362,1990-09-04 00:00:00+00:00,204768000.0,A,06774000,1
