,Parameter Code,Count
590,p61703,207
591,p61704,208
592,p61707,209
593,p61708,215
594,p61944,219
595,p61945,215
596,p61947,215
597,p61948,208
598,p62485,207
599,p62486,207
600,p62805,209
601,p62806,215
602,p62807,207
603,p62808,209
604,p62809,207
605,p62810,215
606,p62811,219
607,p62812,214
608,p62813,209
609,p62814,209
610,p62815,208
611,p62816,207
612,p62817,209
613,p62818,215
614,p62819,208
615,p62823,214
616,p62824,207
617,p62825,209
618,p62826,209
619,p62827,209
620,p62828,209
621,p62829,215
622,p62830,209
623,p62831,209
624,p62832,209
625,p62833,209
626,p62834,209
627,p62841,209
628,p62842,209
629,p63145,201
630,p63147,210
631,p63163,158
632,p63165,158
633,p63166,153
634,p63167,301
635,p63168,159
636,p63170,135
637,p63171,158
638,p63173,158
639,p63174,151
640,p63175,158
641,p63176,158
642,p63178,158
643,p63179,158
644,p63180,301
645,p63181,298
646,p63182,158
647,p63183,301
648,p63184,158
649,p63185,158
650,p63186,158
651,p63187,300
652,p63188,109
653,p63189,158
654,p63192,158
655,p63194,301
656,p63195,158
657,p63196,135
658,p63198,158
659,p63200,151
660,p63201,151
661,p63202,300
662,p63203,158
663,p63206,151
664,p63208,301
665,p63209,158
666,p63210,158
667,p63211,158
668,p63212,158
669,p63213,158
670,p63214,158
671,p63215,158
672,p63218,158
673,p63219,158
674,p63220,302
675,p63221,151
676,p63222,158
677,p63224,301
678,p63225,158
679,p63226,189
680,p63227,335
681,p63229,185
682,p63230,192
683,p63231,192
684,p63232,192
685,p63234,192
686,p64527,74
687,p64528,75
688,p64529,75
689,p64530,75
690,p64531,74
691,p64532,75
692,p64533,74
693,p64534,75
694,p64535,75
695,p64536,75
696,p64537,74
697,p64538,75
698,p64539,75
699,p64540,75
700,p64541,74
701,p64542,75
702,p64543,64
703,p64544,74
704,p64545,75
705,p65064,338
706,p65065,361
707,p65066,333
708,p65067,336
709,p65068,338
710,p65069,340
711,p65070,338
712,p65072,340
713,p65078,340
714,p65080,338
715,p65084,326
716,p65085,340
717,p65087,340
718,p65088,338
719,p65090,340
720,p65091,338
721,p65093,338
722,p65098,338
723,p65102,340
724,p65103,338
725,p65105,340
726,p65107,340
727,p66589,340
728,p66592,326
729,p66596,328
730,p66598,346
731,p66604,340
732,p66607,340
733,p66610,340
734,p66613,340
735,p66620,340
736,p66632,340
737,p66641,336
738,p66643,340
739,p66646,338
740,p66649,340
741,p66651,326
742,p66654,340
743,p66660,340
744,p67305,73
745,p67309,75
746,p67434,165
747,p67435,165
748,p67436,165
749,p67437,165
750,p67439,165
751,p67440,165
752,p67441,165
753,p67442,165
754,p67443,165
755,p67444,165
756,p67445,165
757,p67446,165
758,p67447,165
759,p67448,165
760,p67449,165
761,p67450,165
762,p67451,165
763,p67452,164
764,p67454,165
765,p67455,165
766,p67456,165
767,p67457,165
768,p67458,165
769,p67459,165
770,p67460,165
771,p67461,165
772,p67462,165
773,p67464,165
774,p67466,165
775,p67467,165
776,p67468,165
777,p67469,165
778,p67470,165
779,p67471,165
780,p67472,165
781,p67475,165
782,p67476,165
783,p67477,165
784,p67478,165
785,p67479,165
786,p67480,165
787,p67481,165
788,p67483,165
789,p67484,165
790,p67485,165
791,p67487,164
792,p67488,165
793,p67489,165
794,p67492,165
795,p67493,165
796,p67494,165
797,p67495,165
798,p67496,165
799,p67497,165
800,p67498,165
801,p67499,165
802,p67500,165
803,p67501,165
804,p67502,165
805,p67503,165
806,p67504,165
807,p67505,165
808,p67506,165
809,p67507,165
810,p67508,165
811,p67510,165
812,p67511,165
813,p67512,165
814,p67514,165
815,p67515,165
816,p67516,165
817,p67517,165
818,p67518,165
819,p67519,165
820,p67521,165
821,p67522,165
822,p67523,165
823,p67524,164
824,p67525,165
825,p67527,165
826,p67528,165
827,p67529,165
828,p67530,164
829,p67531,165
830,p67532,165
831,p67534,165
832,p67595,326
833,p67670,336
834,p67685,326
835,p67702,338
836,p67706,336
837,p67995,165
838,p67997,165
839,p67999,165
840,p68000,165
841,p68001,165
842,p68002,165
843,p68005,165
844,p68006,165
845,p68007,165
846,p68008,165
847,p68009,165
848,p68011,165
849,p68012,165
850,p68014,164
851,p68015,164
852,p68017,165
853,p68018,165
854,p68021,165
855,p68022,165
856,p68211,329
857,p68216,332
858,p68226,344
859,p68231,346
860,p68236,336
861,p68240,332
862,p68250,165
863,p68251,165
864,p68252,165
865,p68336,328
866,p68426,347
867,p68437,338
868,p68498,328
869,p68500,328
870,p68502,326
871,p68503,326
872,p68505,326
873,p68508,326
874,p68514,326
875,p68515,314
876,p68517,326
877,p68519,328
878,p68520,328
879,p68521,326
880,p68522,328
881,p68523,322
882,p68524,326
883,p68525,326
884,p68526,326
885,p68527,326
886,p68528,326
887,p68529,326
888,p68530,326
889,p68533,326
890,p68536,326
891,p68538,328
892,p68542,328
893,p68543,328
894,p68545,332
895,p68547,328
896,p68548,331
897,p68549,314
898,p68550,328
899,p68551,314
900,p68552,328
901,p68553,327
902,p68560,326
903,p68561,326
904,p68562,328
905,p68563,326
906,p68564,326
907,p68566,326
908,p68567,326
909,p68568,326
910,p68569,326
911,p68570,332
912,p68571,328
913,p68572,328
914,p68573,328
915,p68574,326
916,p68575,326
917,p68576,328
918,p68577,326
919,p68578,328
920,p68580,328
921,p68581,326
922,p68582,326
923,p68583,326
924,p68586,326
925,p68587,326
926,p68588,326
927,p68589,326
928,p68590,326
929,p68591,326
930,p68594,326
931,p68595,326
932,p68596,328
933,p68597,326
934,p68598,328
935,p68599,326
936,p68600,326
937,p68601,326
938,p68602,326
939,p68603,326
940,p68604,328
941,p68605,326
942,p68606,326
943,p68608,328
944,p68611,323
945,p68612,326
946,p68613,326
947,p68614,326
948,p68615,326
949,p68616,326
950,p68617,317
951,p68618,326
952,p68619,326
953,p68620,305
954,p68621,326
955,p68622,328
956,p68623,326
957,p68624,328
958,p68625,326
959,p68627,332
960,p68632,326
961,p68633,326
962,p68638,326
963,p68639,328
964,p68644,328
965,p68645,328
966,p68647,331
967,p68648,326
968,p68649,326
969,p68650,328
