,State,dataset_ID,analyze_start,analyze_end,analyze_range,quantile,site_no,valid,threshold,hmf_years,annual_hmf,six_mo_hmf,three_mo_hmf,duration,inter_annual,intra_annual,CoM,jan_hmf,feb_hmf,mar_hmf,apr_hmf,may_hmf,jun_hmf,jul_hmf,aug_hmf,sep_hmf,oct_hmf,nov_hmf,dec_hmf,mk_trend,mk_h,mk_p,mk_z,mk_tau,mk_s,mk_var_s,mk_slope,mk_int,dec_lat_va,dec_long_va,data_start,data_end,total_record,HCDN_2009
370,AR,45.0,1970-10-01,2020-09-30,50.0,0.9,07361500,True,646.0,50.0,0.10640347883490367,0.07741958337975134,0.037449193639675506,36.5,100.0,12.02,199.0,0.011921964265837286,0.013303934136998402,0.01895589257687136,0.017633285486933763,0.017820988526138986,0.01065258565437266,0.00927551157925056,0.00389984142070656,0.017101563068217602,0.013921014858105601,0.019795148645568368,0.020816749199571695,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.03888889,-93.41805560,1954-10-01,2020-09-30,66.0,False
371,AR,47.5,1970-10-01,2020-09-30,50.0,0.95,07361500,True,1140.0,50.0,0.0753281038082926,0.05444707083624346,0.02630019780697075,18.1,100.0,9.04,199.0,0.011732797689548545,0.012328516593462109,0.014580929018956282,0.015437127141916201,0.018466940421138462,0.008964951823008,0.008667867649536,0.0030215207996064,0.01677372194502144,0.01087852341096,0.016254835183518886,0.01756711144358784,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.03888889,-93.41805560,1954-10-01,2020-09-30,66.0,False
372,AR,27.0,1990-10-01,2020-09-30,30.0,0.9,07362000,True,21800.0,28.0,1.412093503131264,0.9065873064290401,0.427521601165824,37.32142857142857,93.33333333333333,5.321428571428571,194.0,0.1828244353186944,0.26093447781692614,0.3911584983328512,0.302779014944364,0.652868684514144,0.154195423801776,0.24196632152313602,0.539225250391296,0.506074151739744,0.73071056314368,0.0932756927004,0.299522011248432,no trend,False,0.23187636614304052,1.1955393638947858,0.15632183908045977,68.0,3140.6666666666665,7.942259887678261e-07,1.9939492208476525e-05,33.59638889,-92.81805560,1928-10-01,2020-09-30,92.0,False
373,AR,28.5,1990-10-01,2020-09-30,30.0,0.95,07362000,True,31000.0,25.0,0.9124160979125606,0.5458897221792538,0.25027489207816705,21.0,83.33333333333334,3.84,186.0,0.08167114005266618,0.20331042789254403,0.31836938072428805,0.216603488360448,0.566898738236544,0.15923129180112,0.14858868817497603,0.426682775264256,0.334446877171008,0.782170202132928,0.11131918735391999,0.291876462666432,no trend,False,0.09981605764285884,1.6457460314398453,0.21379310344827587,93.0,3125.0,5.561686098118182e-07,8.401801455628637e-06,33.59638889,-92.81805560,1928-10-01,2020-09-30,92.0,False
374,AR,45.0,1970-10-01,2020-09-30,50.0,0.9,07362000,True,21500.0,47.0,1.3321031246489383,0.9282932280020835,0.4271200355746479,37.59574468085106,94.0,5.446808510638298,191.0,0.16504190872344002,0.23761894497558644,0.355036339502334,0.3357435622105152,0.4499039683835687,0.18733972641014401,0.1687158496687104,0.542895113710656,0.42994487599257597,0.645712451041392,0.11787057298329601,0.34260494114760826,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.59638889,-92.81805560,1928-10-01,2020-09-30,92.0,False
375,AR,47.5,1970-10-01,2020-09-30,50.0,0.95,07362000,True,30300.0,41.0,0.8607709169989604,0.5739069505736054,0.2636394005083645,21.658536585365855,82.0,4.097560975609756,188.0,0.076604998770048,0.17747974080961013,0.26903821180653076,0.2476679062743736,0.400030392907404,0.1821964809284928,0.120065694931728,0.435245789676096,0.27964358493523206,0.594844067809152,0.09296987075712,0.3029105183799744,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.59638889,-92.81805560,1928-10-01,2020-09-30,92.0,False
376,AR,27.0,1990-10-01,2020-09-30,30.0,0.9,07362100,True,1190.0,29.0,0.1325453393344022,0.1032210222958656,0.051615151205003255,37.689655172413794,96.66666666666667,7.241379310344827,194.0,0.024497017261046403,0.0268342735983552,0.032600619153648,0.03480961933763469,0.026311979009216495,0.019584837247651202,0.003957335946043201,0.0065935210971168005,0.0018838631706048,0.1056675978421056,0.0087954390887328,0.0273540738156,no trend,False,0.7212260985001633,-0.35682062007003157,-0.04827586206896552,-21.0,3141.6666666666665,-6.292632577777765e-09,2.3667849651537775e-06,33.37527778,-92.77666670,1961-10-01,2020-09-30,59.0,False
377,AR,28.5,1990-10-01,2020-09-30,30.0,0.95,07362100,True,1880.0,27.0,0.0928122025552512,0.070438722254432,0.0334356263261888,20.11111111111111,90.0,5.148148148148148,182.0,0.016267979828534403,0.02366164763286912,0.026683125510097522,0.03125255602766976,0.02151518535363456,0.0282334818036096,0.007095069084096,0.0042570414504576,0.0002201917991616,0.0881419616792064,0.0077719549852224,0.02462195990112148,no trend,False,0.8164845250511026,-0.23206886738571314,-0.03218390804597701,-14.0,3138.0,-9.627727844e-09,1.4411859077069999e-06,33.37527778,-92.77666670,1961-10-01,2020-09-30,59.0,False
378,AR,45.0,1970-10-01,2020-09-30,50.0,0.9,07362100,True,1230.0,49.0,0.13298436276757303,0.09511287121517349,0.04895497807799863,37.06122448979592,98.0,7.204081632653061,198.0,0.021476715062286787,0.027642596739866184,0.033972449013504005,0.03043213769449728,0.022348448208424798,0.0441790379262288,0.0175000053714624,0.0034190893258704003,0.01804594122906624,0.06434493686611199,0.01064912782760064,0.030848696307144003,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.37527778,-92.77666670,1961-10-01,2020-09-30,59.0,False
379,AR,47.5,1970-10-01,2020-09-30,50.0,0.95,07362100,True,1910.0,45.0,0.09589923721115136,0.06565630135889665,0.03228501090818304,20.08888888888889,90.0,5.088888888888889,191.0,0.01553086156753152,0.022931548713612,0.027956494500696,0.02882399617408844,0.017547383501088,0.053795747942642615,0.0202209468896736,0.0041102469176832,0.0253342897813152,0.07941584223095041,0.0121140440618112,0.0281833852567104,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.37527778,-92.77666670,1961-10-01,2020-09-30,59.0,False
380,AR,27.0,2001-10-01,2018-10-01,17.0,0.9,07362500,False,832.2000000000007,17.0,0.10910831777412888,0.07436829782988176,0.03206657488676637,36.529411764705884,100.0,6.235294117647059,201.0,0.00733347427899071,0.020873154998790243,0.03412841148321539,0.015582134800764853,0.024403612443525492,0.014664284509053301,0.011782544725655415,0.005828476923807546,0.036957970201501426,0.06214840134069771,0.014327513385113365,0.02703989545762094,no trend,False,0.5959123948117162,-0.5302878133549992,-0.09803921568627451,-15.0,697.0,-6.212716144040001e-08,2.4748216007235e-06,33.79222220,-92.33333330,1951-10-01,2018-10-01,67.0,False
381,AR,28.5,2001-10-01,2018-10-01,17.0,0.95,07362500,False,1375.4999999999927,17.0,0.07548254029174413,0.049803355316513295,0.02148006979873568,18.294117647058822,100.0,3.8823529411764706,196.0,0.007986540048757266,0.022164139517274837,0.03113157286690833,0.01321591178567931,0.023713433481931293,0.014276991600083591,0.005708268511969026,0.005097440150591093,0.06494924102603339,0.07499304528723523,0.01901050363817144,0.02860431275426122,no trend,False,0.25581804946653675,-1.1363310286178554,-0.20261437908496732,-31.0,697.0,-3.564383065774999e-08,1.447964252861875e-06,33.79222220,-92.33333330,1951-10-01,2018-10-01,67.0,False
382,AR,45.0,1970-10-01,2018-10-01,48.0,0.9,07362500,False,840.0,29.0,0.10645345478049269,0.07554738446897492,0.03491027083397257,38.51724137931034,60.416666666666664,6.413793103448276,208.0,0.014441972344418304,0.017349697335459942,0.030542466601272963,0.020269665654898728,0.02805330899016864,0.016009278294800814,0.011067696127303201,0.0035671071464179202,0.02768463335606976,0.06194484625525056,0.010126026675095042,0.02589577886917728,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.79222220,-92.33333330,1951-10-01,2018-10-01,67.0,False
383,AR,47.5,1970-10-01,2018-10-01,48.0,0.95,07362500,False,1390.0,28.0,0.07274280742858079,0.05015479869792,0.023427708409209602,19.714285714285715,58.333333333333336,4.5,200.0,0.0141330514054464,0.0156845880643536,0.0231418862501568,0.0159897304033152,0.0227164539468384,0.0144225628450848,0.0054191648349216,0.0049910141143296,0.0342887562805536,0.07462055416032001,0.0146631427737984,0.026197178156662154,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.79222220,-92.33333330,1951-10-01,2018-10-01,67.0,False
384,AR,27.0,2000-10-01,2020-09-30,20.0,0.9,07363000,False,1790.0,20.0,0.315679196155801,0.22112394444471745,0.11009834615634624,36.45,100.0,12.55,201.0,0.031968587137536,0.050712074239008004,0.05200268281637421,0.049844389425490805,0.061911409722785284,0.0359320395224448,0.0019450275592608,0.011726087082335999,0.07965071348338945,0.06468134100372,0.0414581636216315,0.0506012987351088,no trend,False,0.05559297481886971,1.914212769342998,0.3157894736842105,60.0,950.0,1.700862282123846e-07,2.950272346232346e-06,34.56777778,-92.61027780,1950-10-01,2020-09-30,70.0,False
385,AR,28.5,2000-10-01,2020-09-30,20.0,0.95,07363000,False,3230.0,20.0,0.22595470786076835,0.15548599240241762,0.07873202436577632,18.2,100.0,9.1,199.0,0.02088233781234048,0.041409820229828406,0.036002888272638,0.03600869888956033,0.06128449327372451,0.03027881896026624,0.0008807671966464,0.057714717135801605,0.0867739181862672,0.0445399078192992,0.0523628331284016,0.04606525357332037,no trend,False,0.07435290536856365,1.7844356324383879,0.29473684210526313,56.0,950.0,1.7297927252281252e-07,2.3255861304892806e-06,34.56777778,-92.61027780,1950-10-01,2020-09-30,70.0,False
386,AR,45.0,1970-10-01,2020-09-30,50.0,0.9,07363000,False,1790.0,30.0,0.3161097934519392,0.2272411988354995,0.10016606496379392,36.5,60.0,12.5,197.0,0.03015776665715228,0.041572755365164804,0.05859172037006917,0.05893906863741997,0.057594718430438396,0.053495733527174405,0.0019450275592608,0.010352072780028001,0.062112436680168005,0.0484513704738504,0.046663535393435526,0.0457264969592256,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.56777778,-92.61027780,1950-10-01,2020-09-30,70.0,False
387,AR,47.5,1970-10-01,2020-09-30,50.0,0.95,07363000,False,3230.4999999999927,30.0,0.22615703965844272,0.15978323924435198,0.06876369696017617,18.266666666666666,60.0,9.133333333333333,196.0,0.020065644946477088,0.03360584258460319,0.045184474102883676,0.046451498846094785,0.04971758125618614,0.04678402923908789,0.0008795439088732979,0.057709823984709196,0.07089441960339653,0.04111243023441318,0.05506629910699686,0.04040630193032934,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.56777778,-92.61027780,1950-10-01,2020-09-30,70.0,False
388,AR,27.0,2000-10-01,2020-09-30,20.0,0.9,07363200,False,4436.000000000004,20.0,0.4041926295554445,0.2984210522526237,0.16852085759767493,36.5,100.0,6.55,199.0,0.04982491876176859,0.09784608401889519,0.08638491267441496,0.06385301207628129,0.11329468589952936,0.05826079279772232,0.007692033517378536,0.016710110980819155,0.10366303694455294,0.10520030191277367,0.04300835152735291,0.1250432528805532,no trend,False,0.2561449666035265,1.1355499479153377,0.18947368421052632,36.0,950.0,2.296753685138182e-07,6.222524069998729e-06,34.11611110,-92.40555560,1970-10-01,2020-09-30,50.0,False
389,AR,28.5,2000-10-01,2020-09-30,20.0,0.95,07363200,False,6747.999999999956,20.0,0.25232145252259874,0.18369011529947374,0.11172042574350405,18.25,100.0,4.35,193.0,0.03887792036141366,0.09644292066587194,0.06863990023753692,0.04523762668189565,0.10352317437582696,0.030709416256404908,0.0,0.004413622285417174,0.12588365158068715,0.13471334272706806,0.029525273692024748,0.11726654066510273,no trend,False,0.18344722817247305,1.3302156532722529,0.22105263157894736,42.0,950.0,2.230511783199231e-07,3.343475099333731e-06,34.11611110,-92.40555560,1970-10-01,2020-09-30,50.0,False
